content,score,label,text_clean,text_StopWord,text_tokens,text_steamindo
"tambahin fitur skip story atau dialog lah terlalu banyak buang2 waktu ini belum lagi explore map, cari material up karkater, skill, artefak, tolong dipikirin player juga punya kerjaan lain atau main game lain juga",1,Negatif,tambahin fitur skip story atau dialog lah terlalu banyak buang waktu ini belum lagi explore map cari material up karkater skill artefak tolong dipikirin player juga punya kerjaan lain atau main game lain juga,tambahin fitur skip story dialog buang explore map cari material up karkater skill artefak tolong dipikirin player kerjaan main game,"['tambahin', 'fitur', 'skip', 'story', 'dialog', 'buang', 'explore', 'map', 'cari', 'material', 'up', 'karkater', 'skill', 'artefak', 'tolong', 'dipikirin', 'player', 'kerjaan', 'main', 'game']",tambahin fitur skip story dialog buang explore map cari material up karkater skill artefak tolong dipikirin player kerja main game
Menurut saya sih ini game paling bagus apalagi ada mode ceritanya yang bikin saya makin suka game jenis ini,5,Positif,menurut saya sih ini game paling bagus apalagi ada mode ceritanya yang bikin saya makin suka game jenis ini,sih game bagus mode ceritanya bikin suka game jenis,"['sih', 'game', 'bagus', 'mode', 'ceritanya', 'bikin', 'suka', 'game', 'jenis']",sih game bagus mode cerita bikin suka game jenis
"Ngga bisa buka apknya, crash mulu...padahal sebelum update aman-aman aja",1,Negatif,ngga bisa buka apknya crash mulupadahal sebelum update amanaman aja,ngga buka apknya crash mulupadahal update amanaman aja,"['ngga', 'buka', 'apknya', 'crash', 'mulupadahal', 'update', 'amanaman', 'aja']",ngga buka apknya crash mulupadahal update amanaman aja
"Konsep gamenya bagus,grafik dan storynya juga. Kendalanya cuman di ketidakstabilan grafik pas in game nya apalagi klo ngerjain event, klo dh main setengah jam lebih, harus rest dlu baru bisa main lagi, kalo dipaksain fps drop nya g ngotak",5,Positif,konsep gamenya bagusgrafik dan storynya juga kendalanya cuman di ketidakstabilan grafik pas in game nya apalagi klo ngerjain event klo dh main setengah jam lebih harus rest dlu baru bisa main lagi kalo dipaksain fps drop nya g ngotak,konsep gamenya bagusgrafik storynya kendalanya cuman ketidakstabilan grafik pas in game nya klo ngerjain event klo dh main jam rest dlu main kalo dipaksain fps drop nya g ngotak,"['konsep', 'gamenya', 'bagusgrafik', 'storynya', 'kendalanya', 'cuman', 'ketidakstabilan', 'grafik', 'pas', 'in', 'game', 'nya', 'klo', 'ngerjain', 'event', 'klo', 'dh', 'main', 'jam', 'rest', 'dlu', 'main', 'kalo', 'dipaksain', 'fps', 'drop', 'nya', 'g', 'ngotak']",konsep gamenya bagusgrafik storynya kendala cuman ketidakstabilan grafik pas in game nya klo ngerjain event klo dh main jam rest dlu main kalo dipaksain fps drop nya g ngotak
"Gamenya seru grafiknya dan visualnya keren no debat, buat cerita yang dibawakan seru untuk diikutin",5,Positif,gamenya seru grafiknya dan visualnya keren no debat buat cerita yang dibawakan seru untuk diikutin,gamenya seru grafiknya visualnya keren no debat cerita dibawakan seru diikutin,"['gamenya', 'seru', 'grafiknya', 'visualnya', 'keren', 'no', 'debat', 'cerita', 'dibawakan', 'seru', 'diikutin']",gamenya seru grafik visual keren no debat cerita bawa seru diikutin
Enggk perlu komentar lagi...udh perfect... Aku juga player veteran jadi masih asik dan suka memainkannya...untuk saran dan kritik nanti aku sampaikan di forum langsung ok.... YANG SEMANGAT DAN SEMOGA BERUNTUNG,5,Positif,enggk perlu komentar lagiudh perfect aku juga player veteran jadi masih asik dan suka memainkannyauntuk saran dan kritik nanti aku sampaikan di forum langsung ok yang semangat dan semoga beruntung,enggk komentar lagiudh perfect player veteran asik suka memainkannyauntuk saran kritik forum langsung ok semangat semoga beruntung,"['enggk', 'komentar', 'lagiudh', 'perfect', 'player', 'veteran', 'asik', 'suka', 'memainkannyauntuk', 'saran', 'kritik', 'forum', 'langsung', 'ok', 'semangat', 'semoga', 'beruntung']",enggk komentar lagiudh perfect player veteran asik suka memainkannyauntuk saran kritik forum langsung ok semangat moga untung
"Dari segi grafik udah bagus tapi harus di pertimbangankan lagi agar seluruh andorid bisa memainkannya , dan juga ada Masalah di loginya terlalu lama kadang harus mengulangi beberapa kali agar bisa padahal sinyal sangat bagus",4,Positif,dari segi grafik udah bagus tapi harus di pertimbangankan lagi agar seluruh andorid bisa memainkannya  dan juga ada masalah di loginya terlalu lama kadang harus mengulangi beberapa kali agar bisa padahal sinyal sangat bagus,segi grafik udah bagus pertimbangankan andorid memainkannya loginya kadang mengulangi kali sinyal bagus,"['segi', 'grafik', 'udah', 'bagus', 'pertimbangankan', 'andorid', 'memainkannya', 'loginya', 'kadang', 'mengulangi', 'kali', 'sinyal', 'bagus']",segi grafik udah bagus pertimbangankan andorid main log kadang ulang kali sinyal bagus
Kebanyakan update terus sampai penuh memori q gak muat lagi main ne game skip untuk update terbaru nya uninstall ne game.,1,Negatif,kebanyakan update terus sampai penuh memori q gak muat lagi main ne game skip untuk update terbaru nya uninstall ne game,kebanyakan update penuh memori q gak muat main ne game skip update terbaru nya uninstall ne game,"['kebanyakan', 'update', 'penuh', 'memori', 'q', 'gak', 'muat', 'main', 'ne', 'game', 'skip', 'update', 'terbaru', 'nya', 'uninstall', 'ne', 'game']",banyak update penuh memori q gak muat main ne game skip update baru nya uninstall ne game
"Overall game ini sangat bagus, terutama pada karakter nya. Selain itu, quest-quest nya cukup menarik dan sangat menantang, dengar arti penuh teka teki. Walaupun terkadang saya bingung sendiri dengan quest nya. Pada grafik, game ini lebih dari cukup hd. Namun, diperangkat handphone game ini cukup berat, tapi sebanding sm isi gamenya. Menurut saya game ini ga membosankan, karena sebelum mengenal genshin, saya suka pindah2 game, tapi setelah mengenal genshin, saya sll menetap👍👍",5,Positif,overall game ini sangat bagus terutama pada karakter nya selain itu questquest nya cukup menarik dan sangat menantang dengar arti penuh teka teki walaupun terkadang saya bingung sendiri dengan quest nya pada grafik game ini lebih dari cukup hd namun diperangkat handphone game ini cukup berat tapi sebanding sm isi gamenya menurut saya game ini ga membosankan karena sebelum mengenal genshin saya suka pindah game tapi setelah mengenal genshin saya sll menetap,overall game bagus karakter nya questquest nya menarik menantang dengar arti penuh teka teki terkadang bingung quest nya grafik game hd diperangkat handphone game berat sebanding sm isi gamenya game ga membosankan mengenal genshin suka pindah game mengenal genshin sll menetap,"['overall', 'game', 'bagus', 'karakter', 'nya', 'questquest', 'nya', 'menarik', 'menantang', 'dengar', 'arti', 'penuh', 'teka', 'teki', 'terkadang', 'bingung', 'quest', 'nya', 'grafik', 'game', 'hd', 'diperangkat', 'handphone', 'game', 'berat', 'sebanding', 'sm', 'isi', 'gamenya', 'game', 'ga', 'membosankan', 'mengenal', 'genshin', 'suka', 'pindah', 'game', 'mengenal', 'genshin', 'sll', 'menetap']",overall game bagus karakter nya questquest nya tarik tantang dengar arti penuh teka teki terkadang bingung quest nya grafik game hd perangkat handphone game berat banding sm isi gamenya game ga bosan kenal genshin suka pindah game kenal genshin sll tetap
"Gamenya bagus karena banyak husbando dan waifu, trus grafiknya jg bagus, open world, tapi buat nemuin sesuatu yang baru itu harus nunggu lama banget, jadi ya rada bosen jg sih",5,Positif,gamenya bagus karena banyak husbando dan waifu trus grafiknya jg bagus open world tapi buat nemuin sesuatu yang baru itu harus nunggu lama banget jadi ya rada bosen jg sih,gamenya bagus husbando waifu trus grafiknya jg bagus open world nemuin nunggu banget ya rada bosen jg sih,"['gamenya', 'bagus', 'husbando', 'waifu', 'trus', 'grafiknya', 'jg', 'bagus', 'open', 'world', 'nemuin', 'nunggu', 'banget', 'ya', 'rada', 'bosen', 'jg', 'sih']",gamenya bagus husbando waifu trus grafik jg bagus open world nemuin nunggu banget ya rada bosen jg sih
